timestamp, cpu_temp, cpu_util, cpu_freq, amb_temp, amb_humid, heatsink, cover, starttime
2018-03-29T01:21:42,47.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:21:44,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:21:47,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:21:49,46.7,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:21:52,46.7,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:21:54,47.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:21:57,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:21:59,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:02,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:04,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:06,47.2,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:09,47.8,0.5,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:22:11,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:14,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:17,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:19,47.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:22:22,46.7,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:24,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:26,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:29,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:22:31,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:34,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:41,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:44,47.2,0,600000000,22,43,False,False,2018-03-29T00:37:42
2018-03-29T01:22:46,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:22:49,47.2,0,600000000,22,51,False,False,2018-03-29T00:37:42
2018-03-29T01:22:51,47.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
